date,start_time,distance_km,duration_min,eco_pct,city_pct,sport_pct,start_lat,start_lon,source,notes
2023-06-02,08:14,2.4,7,85,15,0,,,seed,
2023-06-03,08:27,7.7,19,85,15,0,,,seed,
2023-06-04,19:34,5.0,11,70,30,0,,,seed,
2023-06-05,07:14,3.5,9,70,30,0,,,seed,
2023-06-05,19:44,4.8,11,28,60,12,,,seed,
2023-06-09,19:14,3.6,7,27,18,55,,,seed,
2023-06-12,20:29,13.1,30,28,60,12,,,seed,
2023-06-13,21:08,9.2,20,14,80,6,,,seed,
2023-06-15,18:29,2.4,6,20,80,0,,,seed,
2023-06-19,17:46,8.2,23,80,20,0,,,seed,
2023-06-21,18:49,9.1,24,85,15,0,,,seed,
2023-06-25,21:34,4.3,11,100,0,0,,,seed,
2023-06-27,19:44,6.1,11,20,80,0,,,seed,
2023-06-28,09:14,5.2,16,100,0,0,,,seed,
2023-06-29,19:56,3.2,9,95,5,0,,,seed,
2023-07-01,18:41,4.3,14,90,6,4,,,seed,
2023-07-02,09:59,8.8,26,90,10,0,,,seed,
2023-07-03,17:13,7.7,25,100,0,0,,,seed,
2023-07-06,19:50,1.6,5,21,70,9,,,seed,
2023-07-09,18:54,6.7,16,45,55,0,,,seed,
2023-07-11,19:36,1.4,5,85,6,9,,,seed,
2023-07-14,18:36,4.0,14,95,5,0,,,seed,
2023-07-16,21:41,9.7,25,70,30,0,,,seed,
2023-07-21,07:21,5.2,10,31,55,14,,,seed,
2023-07-21,20:32,7.4,20,100,0,0,,,seed,
2023-07-24,18:53,6.3,17,100,0,0,,,seed,
2023-07-25,09:15,5.5,14,70,30,0,,,seed,
2023-07-27,19:21,4.4,11,28,60,12,,,seed,
2023-07-29,09:52,4.4,9,20,80,0,,,seed,
2023-07-31,09:41,8.8,22,90,10,0,,,seed,
2023-08-04,19:20,9.0,26,95,5,0,,,seed,
2023-08-05,19:19,5.1,14,95,2,3,,,seed,
2023-08-05,20:47,29.6,80,90,10,0,,,seed,
2023-08-06,08:36,8.5,19,80,1,19,,,seed,
2023-08-07,17:57,5.0,16,90,6,4,,,seed,
2023-08-11,08:01,6.5,14,27,18,55,,,seed,
2023-08-12,09:41,8.9,19,28,60,12,,,seed,
2023-08-12,20:07,1.7,5,20,80,0,,,seed,
2023-08-13,19:30,8.2,19,70,30,0,,,seed,
2023-08-17,20:05,5.7,16,80,20,0,,,seed,
2023-08-18,09:26,10.2,30,90,10,0,,,seed,
2023-08-19,21:26,6.6,11,21,14,65,,,seed,
2023-08-20,19:46,11.3,31,90,10,0,,,seed,
2023-08-21,18:08,2.5,8,90,4,6,,,seed,
2023-08-23,08:01,4.4,14,90,10,0,,,seed,
2023-08-25,08:01,4.4,8,50,0,50,,,seed,
2023-08-25,09:23,6.6,19,100,0,0,,,seed,
2023-08-26,18:53,3.2,9,90,6,4,,,seed,
2023-08-28,19:04,12.3,34,85,15,0,,,seed,
2023-08-30,19:41,8.0,14,25,0,75,,,seed,
2023-08-31,19:05,6.1,16,80,20,0,,,seed,
2023-09-01,09:51,9.6,30,95,5,0,,,seed,
2023-09-02,18:15,12.1,36,100,0,0,,,seed,
2023-09-07,19:21,7.3,22,90,10,0,,,seed,
2023-09-08,21:44,4.7,10,30,70,0,,,seed,
2023-09-09,07:34,5.9,19,100,0,0,,,seed,
2023-09-10,10:03,31.2,92,100,0,0,,,seed,
2023-09-11,17:55,10.4,23,28,60,12,,,seed,
2023-09-11,21:05,5.7,13,40,60,0,,,seed,
2023-09-13,11:44,6.7,22,100,0,0,,,seed,
2023-09-15,18:42,10.6,26,80,20,0,,,seed,
2023-09-17,19:58,3.9,11,100,0,0,,,seed,
2023-09-18,07:27,9.9,19,15,10,75,,,seed,
2023-09-21,18:48,17.0,47,100,0,0,,,seed,
2023-09-23,10:42,3.0,9,90,10,0,,,seed,
2023-09-24,09:07,5.8,17,70,30,0,,,seed,
2023-09-26,19:13,6.1,17,95,5,0,,,seed,
2023-09-27,07:26,5.8,16,70,30,0,,,seed,
2023-09-28,09:50,3.5,9,85,15,0,,,seed,
2023-09-28,19:26,11.2,31,70,25,5,,,seed,
2023-09-30,10:48,11.6,30,70,26,4,,,seed,
2023-10-01,19:45,2.4,8,100,0,0,,,seed,
2023-10-03,07:50,5.2,13,80,17,3,,,seed,
2023-10-03,08:54,11.9,36,100,0,0,,,seed,
2023-10-05,20:31,13.8,28,14,80,6,,,seed,
2023-10-07,19:57,8.4,24,80,20,0,,,seed,
2023-10-08,08:55,16.7,52,90,10,0,,,seed,
2023-10-09,20:29,5.8,15,80,20,0,,,seed,
2023-10-12,08:24,4.2,11,90,10,0,,,seed,
2023-10-14,20:49,3.2,9,70,30,0,,,seed,
2023-10-15,08:16,5.6,16,70,30,0,,,seed,
2023-10-22,08:34,7.5,24,95,5,0,,,seed,
2023-10-24,10:07,4.7,7,15,10,75,,,seed,
2023-10-25,19:00,7.7,19,80,0,20,,,seed,
2023-10-26,09:01,3.8,11,90,10,0,,,seed,
2023-10-27,11:08,4.0,11,80,4,16,,,seed,
2023-10-27,18:37,3.5,9,95,2,3,,,seed,
2023-10-28,17:15,3.0,9,95,5,0,,,seed,
2023-10-30,19:05,32.4,82,90,10,0,,,seed,
2023-11-01,09:55,4.4,15,100,0,0,,,seed,
2023-11-02,08:42,10.7,34,100,0,0,,,seed,
2023-11-04,07:28,6.3,20,100,0,0,,,seed,
2023-11-05,17:01,21.4,50,70,3,27,,,seed,
2023-11-06,08:08,4.4,14,90,10,0,,,seed,
2023-11-07,17:50,6.1,11,21,14,65,,,seed,
2023-11-08,09:09,9.2,20,21,70,9,,,seed,
2023-11-08,09:21,10.1,22,28,60,12,,,seed,
2023-11-09,18:42,4.7,13,100,0,0,,,seed,
2023-11-10,10:36,10.2,22,31,55,14,,,seed,
2023-11-11,17:35,9.2,30,100,0,0,,,seed,
2023-11-14,08:09,8.5,24,80,20,0,,,seed,
2023-11-15,10:23,2.5,7,80,20,0,,,seed,
2023-11-16,07:05,14.8,32,40,60,0,,,seed,
2023-11-17,09:43,5.7,16,70,30,0,,,seed,
2023-11-18,18:14,8.0,25,90,10,0,,,seed,
2023-11-19,07:20,6.7,16,14,80,6,,,seed,
2023-11-20,08:32,5.1,15,95,5,0,,,seed,
2023-11-20,11:05,5.2,16,90,10,0,,,seed,
2023-11-21,19:04,6.7,22,95,4,1,,,seed,
2023-11-22,18:09,5.7,11,14,80,6,,,seed,
2023-11-23,07:23,10.1,30,95,5,0,,,seed,
2023-11-25,08:41,3.0,7,100,0,0,,,seed,
2023-11-25,17:51,7.1,17,85,1,14,,,seed,
2023-11-26,10:38,5.2,16,95,5,0,,,seed,
2023-11-27,21:38,4.7,11,90,7,3,,,seed,
2023-11-29,20:19,3.5,6,25,0,75,,,seed,
2023-11-30,07:19,4.9,11,31,55,14,,,seed,
2023-12-01,08:49,12.3,33,100,0,0,,,seed,
2023-12-02,19:39,17.9,55,85,15,0,,,seed,
2023-12-03,09:15,4.6,11,90,4,6,,,seed,
2023-12-04,19:32,4.9,13,85,15,0,,,seed,
2023-12-05,18:07,3.8,9,70,30,0,,,seed,
2023-12-05,20:52,2.7,8,85,15,0,,,seed,
2023-12-06,20:53,4.9,11,35,0,65,,,seed,
2023-12-08,20:01,4.3,9,14,80,6,,,seed,
2023-12-09,17:50,7.4,24,95,5,0,,,seed,
